idCliente,edad
1,48
2,38
3,49
4,60
5,56
6,54
7,24
8,55
9,19
10,27
11,25
12,22
13,26
14,21
15,30
16,37
17,49
18,21
19,47
20,33
21,22
22,41
23,60
24,38
25,22
26,29
27,38
28,38
29,37
30,43
31,19
32,34
33,22
34,21
35,51
36,18
37,43
38,43
39,30
40,46
41,39
42,44
43,55
44,49
45,46
46,57
47,44
48,43
49,33
50,58
51,60
52,58
53,26
54,21
55,35
56,54
57,47
58,51
59,29
60,27
61,30
62,57
63,27
64,59
65,34
66,59
67,52
68,50
69,53
70,29
71,43
72,21
73,55
74,37
75,59
76,18
77,44
78,46
79,44
80,30
81,32
82,22
83,43
84,38
85,39
86,54
87,53
88,34
89,55
90,53
91,21
92,56
93,35
94,52
95,26
96,35
97,43
98,21
99,38
100,35
101,27
102,58
103,21
104,59
105,25
106,44
107,38
108,25
109,58
110,20
111,31
112,50
113,32
114,40
115,46
116,37
117,37
118,33
119,28
120,57
121,52
122,35
123,22
124,39
125,55
126,60
127,43
128,48
129,34
130,55
131,44
132,27
133,42
134,50
135,37
136,52
137,60
138,22
139,20
140,60
141,20
142,39
143,34
144,33
145,32
146,29
147,35
148,47
149,51
150,31
151,39
152,19
153,32
154,55
155,37
156,21
157,38
158,51
159,20
160,52
161,58
162,18
163,25
164,57
165,25
166,45
167,48
168,20
169,55
170,43
171,31
172,41
173,29
174,52
175,58
176,42
177,25
178,57
179,43
180,51
181,50
182,25
183,44
184,41
185,21
186,29
187,26
188,49
189,42
190,35
191,56
192,49
193,51
194,46
195,21
196,35
197,45
198,33
199,53
200,40
201,31
202,23
203,19
204,19
205,55
206,52
207,37
208,49
209,30
210,39
211,49
212,48
213,18
214,37
215,32
216,45
217,26
218,49
219,42
220,32
221,59
222,55
223,53
224,31
225,60
226,51
227,22
228,18
229,30
230,26
231,58
232,29
233,30
234,40
235,19
236,60
237,49
238,19
239,53
240,46
241,36
242,33
243,35
244,42
245,39
246,48
247,53
248,56
