idNegociacion,estado
1,aprobado
2,aprobado
3,aprobado
4,aprobado
5,aprobado
6,aprobado
7,aprobado
8,aprobado
9,aprobado
10,aprobado
11,aprobado
12,aprobado
13,aprobado
14,aprobado
15,aprobado
16,aprobado
17,aprobado
18,aprobado
19,aprobado
20,aprobado
21,aprobado
22,aprobado
23,aprobado
24,aprobado
25,aprobado
26,aprobado
27,aprobado
28,aprobado
29,aprobado
30,aprobado
31,aprobado
32,aprobado
33,aprobado
34,aprobado
35,aprobado
36,aprobado
37,aprobado
38,aprobado
39,aprobado
40,aprobado
41,aprobado
42,aprobado
43,aprobado
44,aprobado
45,aprobado
46,aprobado
47,aprobado
48,aprobado
49,aprobado
50,aprobado
51,aprobado
52,aprobado
53,aprobado
54,aprobado
55,aprobado
56,aprobado
57,aprobado
58,aprobado
59,aprobado
60,aprobado
61,aprobado
62,aprobado
63,aprobado
64,aprobado
65,aprobado
66,aprobado
67,aprobado
68,aprobado
69,aprobado
70,aprobado
71,aprobado
72,aprobado
73,aprobado
74,aprobado
75,aprobado
76,aprobado
77,aprobado
78,aprobado
79,aprobado
80,aprobado
81,aprobado
82,aprobado
83,aprobado
84,aprobado
85,aprobado
86,aprobado
87,aprobado
88,aprobado
89,aprobado
90,aprobado
91,aprobado
92,aprobado
93,aprobado
94,aprobado
95,aprobado
96,aprobado
97,aprobado
98,aprobado
99,aprobado
100,aprobado
101,aprobado
102,aprobado
103,aprobado
104,aprobado
105,aprobado
106,aprobado
107,aprobado
108,aprobado
109,aprobado
110,aprobado
111,aprobado
112,aprobado
113,aprobado
114,aprobado
115,aprobado
116,aprobado
117,aprobado
118,aprobado
119,aprobado
120,aprobado
121,aprobado
122,aprobado
123,aprobado
124,aprobado
125,aprobado
126,aprobado
127,aprobado
128,aprobado
129,aprobado
130,aprobado
131,aprobado
132,aprobado
133,aprobado
134,aprobado
135,aprobado
136,aprobado
137,aprobado
138,aprobado
139,aprobado
140,aprobado
141,aprobado
142,aprobado
143,aprobado
144,aprobado
145,aprobado
146,aprobado
147,aprobado
148,aprobado
149,aprobado
150,aprobado
151,aprobado
152,aprobado
153,aprobado
154,aprobado
155,aprobado
156,aprobado
157,aprobado
158,aprobado
159,aprobado
160,aprobado
161,aprobado
162,aprobado
163,aprobado
164,aprobado
165,aprobado
166,aprobado
167,aprobado
168,aprobado
169,aprobado
170,aprobado
171,aprobado
172,aprobado
173,aprobado
174,aprobado
175,aprobado
176,aprobado
177,aprobado
178,aprobado
179,aprobado
180,aprobado
181,aprobado
182,aprobado
183,aprobado
184,aprobado
185,aprobado
186,aprobado
187,aprobado
188,aprobado
189,aprobado
190,aprobado
