idSolicitud;fecha;fechaCompra
1;5/4/2020;17/10/2020
2;1/7/2020;5/5/2020
3;20/8/2020;13/10/2020
4;13/12/2020;6/2/2020
5;14/2/2020;18/3/2020
6;8/1/2020;24/1/2020
7;7/6/2020;2/6/2020
8;21/4/2020;1/8/2020
9;25/11/2020;7/12/2020
10;10/6/2020;7/6/2020
11;21/3/2020;20/2/2020
12;11/3/2020;15/7/2020
13;13/7/2020;23/1/2020
14;30/1/2020;13/2/2020
15;14/1/2020;12/6/2020
16;24/6/2020;30/8/2020
17;11/8/2020;8/7/2020
18;24/12/2020;14/7/2020
19;30/10/2020;17/10/2020
20;9/12/2020;20/3/2020
21;23/11/2020;14/12/2020
22;11/10/2020;8/11/2020
23;4/6/2020;12/2/2020
24;19/12/2020;28/12/2020
25;29/1/2020;9/7/2020
26;17/4/2020;25/11/2020
27;27/10/2020;30/11/2020
28;13/11/2020;12/10/2020
29;11/6/2020;28/11/2020
30;31/1/2020;28/7/2020
31;5/1/2020;24/5/2020
32;23/7/2020;18/12/2020
33;12/1/2020;20/10/2020
34;8/5/2020;11/2/2020
35;4/2/2020;17/10/2020
36;1/12/2020;22/7/2020
37;6/1/2020;30/3/2020
38;14/8/2020;11/3/2020
39;23/9/2020;23/12/2020
40;10/10/2020;19/5/2020
41;27/11/2020;9/11/2020
42;6/5/2020;22/10/2020
43;20/11/2020;15/4/2020
44;1/2/2020;22/2/2020
45;3/11/2020;14/9/2020
46;26/9/2020;14/3/2020
47;18/7/2020;7/6/2020
48;6/12/2020;9/9/2020
49;14/11/2020;15/9/2020
50;24/9/2020;9/7/2020
51;24/10/2020;28/3/2020
52;5/11/2020;8/9/2020
53;28/4/2020;13/12/2020
54;31/10/2020;13/5/2020
55;11/7/2020;16/9/2020
56;26/11/2020;19/6/2020
57;22/7/2020;8/2/2020
58;4/11/2020;22/7/2020
59;18/12/2020;25/12/2020
60;7/5/2020;28/11/2020
61;11/9/2020;28/9/2020
62;4/6/2020;1/6/2020
63;14/6/2020;25/7/2020
64;2/2/2020;4/1/2020
65;25/12/2020;1/9/2020
66;4/7/2020;28/2/2020
67;2/9/2020;20/8/2020
68;20/12/2020;15/12/2020
69;6/5/2020;12/6/2020
70;10/3/2020;2/4/2020
71;7/7/2020;24/11/2020
72;1/5/2020;28/9/2020
73;11/8/2020;17/7/2020
74;22/8/2020;15/9/2020
75;26/3/2020;22/8/2020
76;20/2/2020;16/8/2020
77;17/11/2020;19/6/2020
78;16/5/2020;11/9/2020
79;22/3/2020;10/9/2020
80;2/12/2020;27/10/2020
81;1/8/2020;15/4/2020
82;9/5/2020;24/11/2020
83;9/4/2020;2/8/2020
84;12/11/2020;26/2/2020
85;22/6/2020;21/1/2020
86;3/7/2020;29/2/2020
87;19/8/2020;29/11/2020
88;25/3/2020;1/3/2020
89;1/11/2020;2/6/2020
90;28/1/2020;6/3/2020
91;7/8/2020;25/2/2020
92;7/7/2020;16/8/2020
93;6/10/2020;19/5/2020
94;27/4/2020;22/1/2020
95;7/12/2020;9/1/2020
96;29/6/2020;19/2/2020
97;2/6/2020;4/11/2020
98;12/12/2020;31/8/2020
99;23/11/2020;11/5/2020
100;15/11/2020;6/2/2020
101;7/5/2020;6/7/2020
102;8/1/2020;27/4/2020
103;18/11/2020;16/1/2020
104;16/12/2020;22/1/2020
105;27/12/2020;3/11/2020
106;22/9/2020;29/3/2020
107;7/7/2020;12/7/2020
108;10/6/2020;21/9/2020
109;19/10/2020;26/9/2020
110;29/8/2020;23/8/2020
111;24/7/2020;21/9/2020
112;11/2/2020;26/1/2020
113;4/4/2020;5/10/2020
114;25/7/2020;26/1/2020
115;29/3/2020;20/4/2020
116;16/9/2020;3/4/2020
117;13/3/2020;17/2/2020
118;6/9/2020;5/11/2020
119;24/1/2020;31/8/2020
120;10/6/2020;16/11/2020
121;28/9/2020;6/10/2020
122;3/4/2020;6/8/2020
123;5/9/2020;14/9/2020
124;14/1/2020;11/7/2020
125;31/3/2020;16/9/2020
126;24/9/2020;10/10/2020
127;4/12/2020;5/5/2020
128;27/2/2020;17/12/2020
129;18/1/2020;21/10/2020
130;27/4/2020;4/10/2020
131;16/2/2020;20/7/2020
132;18/6/2020;18/3/2020
133;28/9/2020;14/12/2020
134;17/2/2020;24/2/2020
135;16/2/2020;31/8/2020
136;11/12/2020;8/2/2020
137;4/3/2020;22/11/2020
138;29/7/2020;16/7/2020
139;12/6/2020;26/11/2020
140;9/3/2020;4/12/2020
